Location,Coordinates
Deadhorse,"(70.1999496, -148.461816)"
Bouceif,"(18.0927136, -15.968786)"
Rockland,"(41.1519319, -74.0357266)"
"Hyannis, MA","(41.6534847, -70.2823732)"
Talang Betutu,"(-2.9419703, 104.6688562)"
Suva,"(-18.1415884, 178.4421662)"
Nausori,"(-18.0287189, 178.5289994)"
Bua,"(-16.6257985, 178.477433)"
Dama,"(34.0377383, 114.1574752)"
St. Croix,"(17.729124, -64.7589156)"
St. Kitts,"(17.3156929, -62.7446806)"
Smolensk,"(54.77897, 32.0471812)"
Leningrad (,"(59.9606739, 30.1586551)"
Pune,"(18.5213738, 73.8545071)"
Norisk,"(52.5219771, 6.4257499)"
Redmond,"(47.6694141, -122.1238767)"
:  Comox,"(49.6727575, -124.9276204)"
Sechelt,"(49.4721147, -123.763124)"
"Covington, KY","(39.0831712, -84.5107548)"
Peleduy,"(59.625267, 112.750214)"
Christchurch,"(-43.530955, 172.6364343)"
Puerto Esperanza,"(-26.0210433, -54.6108029)"
Samsun,"(41.2303557, 35.9683338)"
Port Morsbey,
Maanari,
Port au Prince,"(18.547327, -72.3395928)"
Cape Haitien,"(19.7595236, -72.2008068)"
"Ambler, AK","(67.0870243, -157.8547266)"
"Kobuk, AK","(66.907238, -156.8827059)"
Babol Sar,"(-25.9139124, 28.0929046)"
Moa,"(14.5351818, 120.9815994)"
Baracoa,"(20.3477869, -74.4968647)"
"Leeville, LA","(29.2504529, -90.2108072)"
"Grand Isle, LA","(29.2366172, -89.9872942)"
Tomora,"(15.07, -4.723)"
Brownwood,"(31.7070026, -98.9831022)"
Yeniseisk,"(59.5216235, 89.5709157)"
Khon Kaen,"(16.4303916, 102.8355904)"
Jamba,"(-14.6902435, 16.0305922)"
"Minneapolis, MN,","(44.9772995, -93.2654692)"
"Lincoln, NE","(40.8088861, -96.7077751)"
"Lima, Peu",
Oil Platform SS,"(51.5109254, -0.013098)"
224,"(9.6267785, -13.1068963)"
Houma LA,"(29.5957696, -90.7195348)"
Nouadhibou,"(20.9127045, -17.0503094)"
Riyadh,"(18.0107143, -15.955326)"
Sjamsudin Noor,
Freeport Grand Bahama Islands,"(26.6613931, -78.2683535)"
Kindu,"(-2.9493766, 25.9184499)"
Ramstein AB,"(49.441426, 7.6012401)"
Séoul,"(37.5666791, 126.9782914)"
Dodoma,"(-6.1791181, 35.7468174)"
Dar es Salaam,"(-6.8160837, 39.2803583)"
Rio Hacha,"(1.6956103, -75.6210566)"
Ramstein AFB,"(49.441426, 7.6012401)"
Moses Lake,"(47.1301417, -119.278077)"
Vladivostok,"(43.1150678, 131.8855768)"
"White Plains, NY","(41.0339862, -73.7629097)"
"Avalon, CA","(33.34221, -118.3272612)"
Tucurui,"(-3.766334, -49.6663654)"
Denis de la Réunion,"(-20.9192611, 55.5046841)"
Eielson AFB,"(64.6744645, -147.0825915)"
Varsovie,"(52.2337172, 21.0714322)"
Slupsk,"(54.463577, 17.020948)"
"Gillette, WY","(44.290635, -105.501876)"
Singapour,"(1.2899175, 103.8519072)"
Pekanbaru,"(0.5262455, 101.4515727)"
Lazo,"(47.8913994, 27.9289881)"
Tucuman,"(-26.5643582, -64.882397)"
Puerto Escondido,"(9.0142629, -76.2625983)"
Macara,"(-4.3795699, -79.9431953)"
Ulan,"(36.8353391, 98.3130742)"
Severomuysk,"(56.172134, 113.574615)"
East Midlands,"(53.1188177, -1.2597069)"
"Larnaca, Cyprus","(34.9236095, 33.6236184)"
Mogadishu,"(2.0349312, 45.3419183)"
Toamasina,"(-18.1553985, 49.4098352)"
Andapa,"(-14.6622706, 49.6517827)"
Chihuahua,"(28.5000001, -106.0000001)"
Komsomol'sk,"(50.5497277, 137.0099189)"
na,"(-23.2335499, 17.3231107)"
Amure,"(46.2636996, -0.6312368)"
Blagoveshchensk,"(50.2600417, 127.5337378)"
Zeya,"(53.7403584, 127.2716246)"
Paipa,"(5.7812701, -73.1176532)"
Zeleznogorsk,"(52.331424, 35.4243837)"
"Fort Lewis, WA","(47.1086912, -122.554979)"
"Indian springs, NV","(36.5767153, -115.6701485)"
Ahwaz,"(31.3230637, 48.67932)"
"Casper, WY","(42.8501191, -106.325138)"
"McAllen, TX","(26.204114, -98.2300605)"
Eindhoven,"(51.4392648, 5.478633)"
Hamburgh,"(53.550341, 10.000654)"
Salzbourg,"(47.7981346, 13.0464806)"
Olbia,"(40.9232659, 9.5027442)"
Saint Croix,"(17.729124, -64.7589156)"
Norilsk,"(69.3444054, 88.2096151)"
Biratnagar,"(26.4623007, 87.281617)"
Katmandou,"(27.708317, 85.3205817)"
Castries,"(43.6779101, 3.9868904)"
"Haliive, HI",
Monteria,"(8.6046053, -75.9783203)"
Covenas,"(9.4017581, -75.6787017)"
Novorossiysk,"(44.7239578, 37.7690711)"
"Fort Lauderdale, FL","(26.1223084, -80.1433786)"
Jeju,"(33.4887737, 126.4987083)"
Pathankot,"(32.3021899, 75.6589406)"
Sicogon,"(14.4305946, 121.0242306)"
Bridgeport,"(41.1792695, -73.1887863)"
Groton,"(41.3501598, -72.0761998)"
Berlevag,"(70.7990451, 29.1505286)"
Mehamn,"(71.0389923, 27.8517589)"
Sawyer,"(45.8731634, -91.1468287)"
Saravena,"(6.9564056, -71.8754435)"
Banddanack,
Erzurum,"(39.90632, 41.2727715)"
Incirlik,"(37.9271823, 41.5171742)"
Guilin,"(25.2779894, 110.2910622)"
Mukalla,"(14.5424624, 49.1231345)"
Eirunepe,"(-6.6567654, -69.866161)"
Tabatinga,"(-21.7373768, -48.6880522)"
Kuala Lampur,"(-17.7927491, 177.4303603)"
Booué,"(-0.1015728, 11.9481458)"
Ndjolé,"(-0.1838081, 10.7658311)"
Libreville,"(0.4086518, 9.4418849)"
Jolo,"(6.0531173, 121.0007633)"
El Rodeo,"(-28.2124867, -65.8773962)"
Zumba,"(-4.8632629, -79.1307653)"
Moscou,"(55.625578, 37.6063916)"
Luxembourg,"(49.6112768, 6.129799)"
La Havane,"(23.135305, -82.3589631)"
San Jose del Guaviare,"(2.5716141, -72.6426515)"
"Sante Fe, NM","(35.4805847, -108.8501708)"
La Serena,"(-29.902631, -71.2520253)"
St Paul,"(44.9497487, -93.0931028)"
Brainerd,"(46.3580221, -94.2008288)"
Uruzgan,"(32.8129681, 66.0183185)"
Kaboul,"(34.5266431, 69.1849082)"
Barquisimeto,"(10.0774374, -69.3222293)"
Ambler,"(46.395412, 11.146774)"
Nalchik,"(43.4769604, 43.5966578)"
Leninakan,"(47.3079286, 39.6433401)"
Jacksonville NAS,"(30.2196779, -81.6911333)"
"Guantanamo Bay, Cuba","(19.9709396, -75.1434583)"
Klyuchi,"(57.3988439, 27.990648)"
Kinmen,"(24.4480637, 118.3856331)"
Brabers Point,
Pyongyang,"(39.0167979, 125.7473609)"
Penzance,"(50.1194794, -5.5352463)"
Scilly Islands,"(49.912973, -6.3051334)"
"Grand Canyon, AZ","(36.0980405, -112.0962787)"
Chelyabinsk,"(55.1559312, 61.4012726)"
Smithers,"(54.7792074, -127.1760991)"
Abu Dhabi,"(24.4538352, 54.3774014)"
Taitung,"(22.7553667, 121.1506)"
Lanyu Island,"(22.0438499, 121.5422433)"
Campo Grande,"(-20.4640173, -54.6162947)"
Araçatuba,"(-21.207992, -50.4390225)"
Lonkin,"(61.0840661, 21.5933636)"
"Springfield, Il","(39.7990175, -89.6439575)"
"Carbondale, IL","(37.7274692, -89.216655)"
Middletown,"(41.5623178, -72.6509061)"
Inuvik,"(68.3602632, -133.720386)"
Paulatuk,"(69.3613348, -124.0745328)"
Leshukonskoye,"(64.902481, 45.767242)"
Izhevsk,"(56.866557, 53.2094166)"
Pohang,"(36.0189315, 129.3429384)"
Kannung,"(-32.8004006, 151.4825499)"
Ft. Lauderdale,"(26.1223084, -80.1433786)"
Windsor Locks,"(41.9281305, -72.643631)"
Macaé,"(-22.2828305, -41.9649091)"
Sigonella,"(37.4036225, 14.9223489)"
Diego Garcia,"(-7.3383584, 72.4718155)"
Tau Island,"(-14.2419897, -169.4645991)"
Patenga,"(55.6458373, -3.187801)"
Wamena,"(-4.0943705, 138.9466574)"
Jayapura,"(-2.5387539, 140.7037389)"
San Luis Obispo,"(35.3540209, -120.375716)"
Wewak,"(-3.5542197, 143.6270904)"
Tabubil,"(-5.2716682, 141.2255685)"
Telefomin,"(-5.1238394, 141.6405108)"
Kiunga,"(-6.1159886, 141.2981755)"
"Naples, FL","(26.1421976, -81.7942944)"
"Tampa, FL","(27.9477595, -82.458444)"
Tshikapa,"(-6.6399269, 20.5405413)"
Fort Norman,"(64.9019115, -125.5719263)"
Fort Franklin,"(65.1851519, -123.420944)"
St. Anthony,"(42.1236441, -93.1973467)"
Tachkent,"(41.3123363, 69.2787079)"
Kostroma,"(57.7964853, 40.9693305)"
Kvanovo,
Bhojpur,"(25.4501182, 84.5635193)"
Nanjing,"(32.0438284, 118.7788631)"
"Taos, NM","(36.4072377, -105.573284)"
"Reno, NV","(39.5261206, -119.8126581)"
"St. Paul, MN","(44.9497487, -93.0931028)"
Howard AFB,"(32.2135323, -101.5210868)"
Trujillo AP,"(-8.1116778, -79.0287742)"
Tombouctou,"(16.7719091, -3.0087272)"
Eielson,"(64.6629132, -147.0679879)"
Valdez,"(61.1299396, -146.349363)"
Phuket,"(7.9366015, 98.3529292)"
Tallin,"(59.4372155, 24.7453688)"
L'vov,"(38.6342463, 48.6295684)"
"Fulemma, Okinawa",
Cabimas,"(10.395075, -71.4414049)"
Juara,"(-11.2535587, -57.5080072)"
Karshi,"(38.839824, 65.7927794)"
Fort Lauderdale,"(26.1223084, -80.1433786)"
Abu Dahbi,
"Auburn, ME","(44.0979903, -70.2312137)"
Kandahar,"(31.6205738, 65.7157573)"
Farah,"(32.607111, 62.671011)"
Vitória da Conquista,"(-14.8567487, -40.8414804)"
State College,"(40.7944504, -77.8616386)"
Beni,"(-14.0, -65.0)"
Poti,"(12.8207567, 80.0368745)"
Cuito,"(-12.3831319, 16.9425484)"
Menongue,"(-14.6610713, 17.6820336)"
"Fort Campbell, KY","(36.6313383, -87.6156884)"
Guntersville,"(34.3581474, -86.2947041)"
Santa Elena,"(-15.9690718, -5.71295)"
Villa Constitucion,"(-33.227206, -60.3298225)"
Los Mochis,"(25.7928058, -108.990188)"
Kasonga,"(1.1890684, 30.7821622)"
Makung,"(23.5691606, 119.5812903)"
Cheboksary,"(56.1399598, 47.2480999)"
Bugulma,"(54.5384152, 52.7955953)"
"Alpena, MI","(45.0176181, -83.6670019)"
Snegamook Lake,"(54.5487567, -61.4256325)"
Pemba,"(-5.1690625, 39.7994251)"
Male,"(4.1779879, 73.5107387)"
Antsirabe,"(-19.871403, 47.034667)"
Alexandia,"(41.2662136, -70.096975)"
Port Ellen,"(55.6293903, -6.1880114)"
Chimoio,"(-19.1437458, 33.4780059)"
Harare,"(-17.8567035, 31.0601584)"
Vieux Fort,"(15.9502759, -61.6958328)"
Kingstown,"(13.1561864, -61.2279621)"
Duzuna,
Sao Jose dos Campo,"(-5.0563189, -41.1985589)"
Mangole,"(-1.8625438, 125.8306468)"
Kelly AFB,"(29.3838847, -98.5861854)"
Warner Robins AFB,"(32.6178258, -83.5770746)"
May,"(36.6169786, -99.7473431)"
Allah,"(13.512383, 7.6073495)"
Yun,"(24.3526033, 100.2996622)"
Chiraz,"(29.6060218, 52.5378041)"
Téhéran,"(35.6892523, 51.3896004)"
Yekaterinburg,"(56.839104, 60.60825)"
Bakhtaran,"(34.3239414, 47.0735891)"
Zahedan,"(29.4928874, 60.8503017)"
Savu Savu,"(-9.666667, 122.0)"
Nadi,"(-17.7992725, 177.4178549)"
Bata,"(2.0064092, 9.9087683)"
Asrmara,
Shahrizyabz,
Hoskins,"(42.1122261, -97.3061614)"
Khost,"(33.4014634, 69.8912294)"
Biysk,"(52.5394905, 85.2148673)"
Banda Aceh,"(5.5528455, 95.3192908)"
Lumberton,"(34.6183305, -79.008205)"
"Mayaguez, PR","(18.2116354, -67.0953572)"
Big Trout,"(41.2670519, -78.4980437)"
Pickle Lake,"(51.4648142, -90.1925284)"
Saposa,"(-5.5849988, 154.7071398)"
Berdyansk,"(46.755678, 36.7887623)"
Heho,"(20.7477578, 96.7926686)"
Mong Hsat,"(20.5419516, 99.3307083)"
Baguio,"(16.4119905, 120.5933719)"
Calama,"(-22.4623917, -68.9272181)"
Hat Yai,"(7.0074644, 100.4689889)"
Kunduz,"(40.0414056, 36.2942632)"
Nyaung,"(16.8844358, 95.792463)"
U,"(-43.7128356, -68.7461817)"
"Pittsburg, PA","(40.9328397, -80.3633981)"
Blantyre,"(-15.7862543, 35.0035694)"
Lilongwe,"(-13.9875107, 33.768144)"
Mauritius,"(-20.2759451, 57.5703566)"
Goma,"(-1.6665685, 29.225652)"
Fernando de Noronha,"(-3.8537498, -32.4198018)"
Samarinda,"(-0.5017804, 117.1393089)"
Berau,"(1.7767536, 117.2691764)"
Krosnovodsk,
"Durango, CO","(37.2769484, -107.8766)"
Lyudao,"(22.6733889, 121.4664066)"
Hannover,"(52.3744779, 9.7385532)"
Dusseldorf,"(51.2254018, 6.7763137)"
Ercan,"(40.9897605, 28.9049975)"
Phalaborwa,"(-23.948502, 31.137577)"
Nancy,"(48.6937223, 6.1834097)"
Maimana,"(36.5268933, 65.0327823)"
Mazar,"(36.4792745, 76.8598349)"
Bloemfontein,"(-29.116395, 26.215496)"
Muya,"(56.0561936, 114.2156118)"
Hilo,"(19.7073734, -155.08158)"
Namsos,"(64.4666372, 11.3345047)"
Bronnoysund,"(65.4748755, 12.2116394)"
"Belize City, Belize","(17.5002768, -88.1988737)"
Billund,"(55.7247018, 9.1195835)"
Resistencia,"(-27.6048829, -59.1932003)"
Posadas,"(-27.3664824, -55.894295)"
Bandar Abbas,"(27.1793466, 56.2781423)"
El Salvador,"(13.8000382, -88.9140683)"
"Oostende, Belgium","(51.2258565, 2.919496)"
Bahawalpur,"(29.394644, 71.6638747)"
Uruapan,"(19.4147269, -102.0522647)"
Lazro,"(-23.3826629, -51.9131785)"
Lago Agrio,"(0.1266266, -76.7575913)"
Tikis,"(51.5293385, -0.0611923)"
Sawyer AFB,"(46.3529764, -87.3915429)"
Wurtsmith AFB,
Ahmadabad,"(23.0215374, 72.5800568)"
Juliaca,"(-15.4932314, -70.1356177)"
Rzeszow,"(50.013064, 22.0161435)"
Helsink,"(-3.068698, -60.0533677)"
Ilmajoki,"(62.731342, 22.5797719)"
Montluçon,"(46.3400296, 2.6073963)"
Hamada al Hambra,"(47.609935, 7.6602234)"
Kodinsk,"(58.6027015, 99.1887515)"
Dyess AFB,"(32.4206387, -99.8381771)"
Kentung,"(-7.9044547, 110.3328115)"
Bergamo,"(45.7566557, 9.7542192)"
Orio al Serio,"(45.6762274, 9.6929555)"
La Grande,"(45.3246068, -118.0878695)"
Lac Bienville,"(55.0336406, -73.1265047)"
Dryden,"(49.785698, -92.835846)"
Terre Haute,"(39.4667025, -87.4139119)"
Lafayette,"(30.2262187, -92.0178202)"
"Fort Worth, TX","(32.753177, -97.3327459)"
"Oklahoma City, OK","(35.4729886, -97.5170536)"
Guarulhos,"(-23.4675941, -46.5277704)"
Baranquilla,"(8.921018, -82.2035556)"
Chichen Itza,"(20.6828519, -88.5687196)"
Cozumel,"(20.4320599, -86.9206906)"
Oskarshamn,"(57.2632811, 16.4443478)"
Paramaribo,"(5.8241764, -55.1662813)"
Zanderij,"(5.4563593, -55.2073041)"
Tame,"(6.4615077, -71.7245069)"
Zaranj,"(30.954754, 61.859475)"
San Ramon,"(37.7648021, -121.9544387)"
Captain Alvarino,"(-8.3839342, -74.5420041)"
Chi,"(17.5423529, 73.522233)"
mei,"(24.4146228, 116.2342558)"
"Carterville, GA","(37.1492253, -94.4430032)"
"Montgomery, AL","(32.37742, -86.3091683)"
"Baltimore, MD","(39.2908816, -76.610759)"
"Winchester, VA","(39.1852184, -78.1652404)"
Porega,
Luena,"(43.1117584, -3.9070384)"
Cazombo,"(-11.8981934, 22.9061022)"
Samos,"(42.730661, -7.3265903)"
Bole,"(44.904806, 82.0629703)"
Wanaka,"(-44.6941691, 169.1364637)"
"Hattiesburg, MS","(31.3271189, -89.2903392)"
"Gulfport, MS","(30.3674198, -89.0928155)"
Hongqiao,"(39.1663089, 117.1450225)"
Chaklala,"(33.6009004, 73.096555)"
Maraba,"(-5.3462821, -49.1007401)"
"Köln, Bonn","(50.8677817, 7.138961)"
"Mayfield, KY","(36.7413624, -88.6352595)"
Manokwari,"(-0.8614456, 134.0767324)"
Bentuni,
N'Djamena,"(12.1191543, 15.0502758)"
Hyderabad,"(17.360589, 78.4740613)"
Terrace,"(54.5172715, -128.599548)"
Mukachevo,"(48.4421119, 22.7185408)"
Uncertain,"(32.7120883, -94.1212966)"
Destsin,
"Atlantic City, NJ","(39.3642852, -74.4229351)"
Urpay,"(-8.3479399, -77.3892967)"
Uchiza,"(-8.4590114, -76.4618414)"
Ul'yanovsk,"(54.3150278, 48.403373)"
"Kahului, Maui","(20.8747708, -156.4529879)"
"Kaunakakai, Molokai","(21.0809372, -157.003683)"
Freetown,"(8.479004, -13.26795)"
Qacha?s,"(-29.9656502, 28.7380611)"
Nek,"(45.9381762, 15.5159392)"
Maseru,"(-29.310054, 27.478222)"
Sovietsky,"(55.7848398, 37.5693986)"
Seou,"(10.6183039, -3.2545066)"
Ulsan,"(35.5391697, 129.3119136)"
Ciudad Guayana,"(8.3223763, -62.6896622)"
Charallave,"(10.2456598, -66.8586608)"
"Block Island, RI","(41.1895771, -71.5679001)"
"Westerly, RI","(41.3775996, -71.8272911)"
Fort Belvoir,"(38.710797, -77.1436907)"
Guayaramerin,"(-10.818915, -65.3550455)"
Yakima,"(46.601557, -120.510842)"
Bicharest,
Beogard,
Montrose,"(38.4375391, -108.2403855)"
Puerto Ayancucho,
Ujung Pandang,"(-5.1414356, 119.4136706)"
Selaparang,"(-8.5127116, 116.602957)"
Ulan Bator,"(47.9184676, 106.9177016)"
Uliastaj,"(46.7647032, 95.9969651)"
Noire,"(46.9138715, -0.5264056)"
"Burlington, VT","(44.4761601, -73.212906)"
Plattsburgh,"(44.6960855, -73.4542915)"
Bogota via Neiva,"(41.6416967, -8.7642071)"
San Palo,"(-23.5506507, -46.6333824)"
Aracatuba,"(-21.207992, -50.4390225)"
M'bala,"(14.5649976, -4.8033013)"
Likouala,"(1.6788828, 17.4747723)"
Aspen,"(39.1911128, -106.82356)"
Kokand,"(40.5408463, 70.9473889)"
Kuito,"(-0.2201641, -78.5123274)"
Huambo,"(-12.7772455, 15.7346713)"
Vaeroy,"(67.6548119, 12.7261792)"
Bodo,"(45.8161583, 21.8851566)"
Contadora,"(10.39708, -75.4859716)"
San Miguel,"(38.0292476, -108.4712533)"
Gbadolite,"(4.2812396, 20.9999077)"
Roxaz City,
"Timmins, Ontario","(48.477473, -81.330414)"
"Ship Sands Island, Ontario","(45.1487216, -76.1388924)"
Moosonee,"(51.267071, -80.650635)"
Guatamala City,"(14.6416142, -90.5132836)"
La Aurora,"(14.5831769, -90.5271896)"
Tuxtla,"(20.000556, -97.654444)"
Gutierrez,"(-19.4227691, -63.529696)"
Surigao City,"(9.7905028, 125.4935697)"
Altamira,"(43.3768445, -4.1197476)"
Woitape,"(-8.5417418, 147.2509709)"
Zvartnots,"(40.1522777, 44.3968082)"
"Elkhorn, WI","(42.6719206, -88.543494)"
Rhein,"(50.4677626, 7.351989)"
Main AB,"(49.7278166, -113.2644786)"
"Nulato, AK","(64.7194444, -158.1030556)"
"Kaltag, AK","(64.3276089, -158.7254198)"
Sondre Stomfjord,
Volgograd,"(48.7081906, 44.5153353)"
"Van Nuys, CA","(34.1866193, -118.4486675)"
"San Luis Obispo, CA","(35.3540209, -120.375716)"
Bella Vista,"(36.4678036, -94.2669727)"
Camaguey,"(21.3791765, -77.9183681)"
Zürich,"(47.3744489, 8.5410422)"
Koh Samui,"(9.5013944, 99.9956193)"
Los Angeles \  Los Angeles,"(34.0536909, -118.242766)"
Fresno,"(36.7394421, -119.78483)"
Elefsis AB,
Volos,"(39.3624833, 22.9401864)"
Néa Anchialos,"(39.280167, 22.8186102)"
Macao,"(22.1757605, 113.5514142)"
Taisha,"(-2.4406358, -77.3827259)"
Puerto Williams,"(-54.935761, -67.6061824)"
Santa Barbara de Zulia,"(8.9973658, -71.9084553)"
"Evansville, IN","(37.970495, -87.5715641)"
Dundo,"(-7.381086, 20.833799)"
Koweit City,"(3.8014166, 11.5241312)"
Ras,"(48.4720302, 20.2386506)"
al,"(41.000028, 19.9999619)"
Mishab,"(35.79533, 46.869705)"
Trashkent,
Navoi,"(42.0, 64.0)"
Yellahanka,"(13.1041426, 77.5924047)"
Sturdee,"(57.660196, -3.6186548)"
"Williamsport, PA","(41.2411556, -77.0011096)"
"Philadelphia, PA","(39.9527237, -75.1635262)"
Brunswick,"(52.2646577, 10.5236066)"
Hiva Ou,
Nuku Hiva,"(-8.8733104, -140.1245635)"
Ambon,"(47.5542438, -2.5566945)"
Ternate,"(45.7822863, 8.6903182)"
Miraflores Guaviarel,
St. Petersburg,"(59.9606739, 30.1586551)"
"Wien, Austria","(48.2083537, 16.3725042)"
"Grada Zuma, Bahamas","(2.3341874, 32.2764729)"
Cape Hatien,
Cafunfo,"(-8.7676566, 18.0014181)"
Malambo,"(10.8653387, -74.7746194)"
Saint Petersburg,"(59.9606739, 30.1586551)"
Benin,"(9.5293472, 2.2584408)"
Bellvista,"(-26.7977741, 153.0920122)"
Mobile,"(30.6913462, -88.0437509)"
Birmingham,"(52.4796992, -1.9026911)"
Sokoto,"(13.0611195, 5.3152203)"
Nogougou,
Luganville,"(-15.5121107, 167.1784414)"
Altukaki,
Rarotonga,"(-21.2368312, -159.7774744)"
"Ketchikan, AK","(55.3430696, -131.6466819)"
Sampit,"(-2.5389113, 112.949389)"
Plangkaraya,
Bario,"(3.7479196, 115.4603708)"
Marudi,"(4.1795078, 114.3211018)"
Laredo,"(27.5075005, -99.5069922)"
: Dire Dawa,"(9.5912196, 41.9797191)"
Aba,"(31.9015694, 102.2229237)"
Moncton,"(46.0985679, -64.8004265)"
Kira,"(0.4003408, 32.6391845)"
Honiara,"(-9.4310769, 159.9552552)"
Villlavicencio,
Kavanayen,"(5.5856988, -61.7519081)"
Luepa,"(5.75233, -61.5147954)"
"Concord, CA","(37.9768525, -122.0335624)"
"Novato, CA","(38.1061979, -122.5681191)"
Palangkaraya,"(-2.2072919, 113.9164372)"
Point Alert,"(49.9963332, -127.4487589)"
Ellsta,"(59.920307, 18.2631692)"
Makhackala,
Aracajú,"(-10.9162061, -37.0774655)"
Ryazan,"(54.6295687, 39.7425039)"
"Sacramento, CA","(38.5810606, -121.493895)"
Brasilla,"(-15.8713577, -48.0179428)"
Guarantinguerta,
Agdam,"(39.9935455, 46.9300331)"
Shusha,"(39.7632567, 46.7511501)"
Guanambi,"(-14.223066, -42.779943)"
Yoff,"(14.7603583, -17.468149)"
Cap Skiring,
Estencia el Trompillo,"(7.1168622, -69.7663379)"
Dwando,
Baikov,
Laikipia,"(0.2858452, 36.8257711)"
Bandar Manshahr,
Mayaguez,"(18.2116354, -67.0953572)"
Rio Branc,"(-17.5429407, -66.5048614)"
Igarka,"(67.4566185, 86.5308425)"
Jaffna,"(9.665093, 80.0093029)"
Chevak,"(61.5278948, -165.5890211)"
Nakhichevan,"(47.2320812, 39.7627084)"
Mineralnye Vody,"(44.2107377, 43.134969)"
Xiamen,"(24.5438732, 118.0768065)"
Santa Ana de Yacuma,"(-13.9229218, -65.2814836)"
Estrecho,"(40.4545136, -3.7027568)"
Iquitos,"(-3.749365, -73.2444145)"
Ivanovo,"(56.9956855, 40.9812104)"
Pretoria,"(-25.7459277, 28.1879101)"
Bellavista,"(-7.6842476, -76.3153378)"
Kaduna,"(10.5182899, 7.4359863)"
Xi'an,"(34.261004, 108.9423363)"
Ust',"(29.9610777, -81.3405011)"
Him,"(59.4720964, 6.3087353)"
Novosobrisk,
Migalovo AB,"(56.8432319, 35.769727)"
Porto Plata,"(18.1584387, -66.2377196)"
Faro,"(37.0162727, -7.9351771)"
Southend,"(51.5388241, 0.7128137)"
Bronson,"(42.4096295, -96.2123679)"
Wrangell,"(56.4706022, -132.3829431)"
Khoram,"(32.683255, 51.6958936)"
Faisabad,
Daraim,"(36.9111458, 70.3685584)"
Iles Orchides,
Vihena,"(-17.5427193, -52.5527034)"
Rondonia,"(-10.943145, -62.8277863)"
"Bristol, TN","(36.5945034, -82.1885212)"
"Blountville, TN","(36.5331586, -82.326806)"
Bayan Olgiy,"(48.5470083, 89.8549358)"
Aurangabad,"(24.80332, 84.4110198)"
Sharif,"(33.8450001, 46.2393702)"
Cancun,"(21.1527467, -86.8425761)"
Chimkent,"(42.3146962, 69.5883282)"
Ambo,"(-10.166667, -76.166667)"
Sorong,"(-0.8634105, 131.2544805)"
Talladega,"(33.3967079, -86.1597137)"
Yinchuan,"(38.4852037, 106.2261926)"
Mokpo,"(34.7903335, 126.3847547)"
Ba Kelalan,"(3.9776266, 115.6195149)"
Bharatpur,"(27.0246959, 77.2920116)"
"Norfolk, VA","(36.8493695, -76.2899539)"
"Guantanamo, Cuba","(19.9709396, -75.1434583)"
Uchur,"(57.139359, 132.5875906)"
Aldan,"(58.608414, 125.388222)"
Khorag,
Glentanner,"(-43.9115734, 170.1250885)"
Queenstown,"(-45.0321923, 168.661)"
Shenzen,
Fuzhou,"(26.0774954, 119.2918215)"
Sandy Lake,"(41.3486674, -80.0822822)"
Urumqi,"(43.8244074, 87.6139038)"
Kerman,"(29.571858, 57.301047)"
Genèva,"(46.2017559, 6.1466014)"
Tuktoyaktuk,"(69.4440189, -133.031904)"
Phonesavahn,
Krasnadar,"(45.0938555, 39.0637936)"
Gyumri,"(40.7852085, 43.8416095)"
Coventry,"(52.4081812, -1.510477)"
Jananjui,
Tocache,"(-8.2211777, -76.7026341)"
Key West Harbor,"(33.6022015, -117.8598815)"
Key West,"(24.5548262, -81.8020722)"
Weipa,"(-12.6386641, 141.8710861)"
Aurukun,"(-13.6020675, 141.7706849)"
Taura,"(50.918404, 12.8408864)"
Latacunga,"(-0.9340311, -78.6145758)"
Tanzania,"(-6.5247123, 35.7878438)"
Pontianak,"(-0.0226903, 109.3447488)"
Nanga Pinoh,"(-0.3316049, 111.7370026)"
Sao Gabriel,"(-30.334214, -54.3227149)"
La Primavera,"(-10.3038965, -77.0985643)"
Puerto Carreno,"(6.1909225, -67.4841891)"
Aldergrove AB,"(53.5167841, -113.6412)"
Fort George,"(57.5838243, -4.0702707)"
Xian,"(38.1904931, 116.1191021)"
Lazaro,"(-11.2916529, -40.4830098)"
Cardenas,"(42.3743627, -2.767099)"
Michoacan,"(19.207098, -101.878113)"
Nouakchott,"(18.0792379, -15.9780071)"
Tidjikja,"(18.5545158, -11.4325834)"
"Columbia, SC","(34.000754, -81.0352313)"
"Lihue, HI","(21.9769622, -159.3687721)"
Colon,"(41.2974531, -96.6094912)"
Kilo Lima,"(-12.1049392, -76.972927)"
Kelawit,"(0.7410201, 109.2326617)"
Dzhida,"(50.6850918, 106.1779843)"
Boda,"(46.0808583, 18.0478346)"
Cheju,"(22.1996436, 112.701568)"
"Caribou Lake, AK","(64.8788217, -147.7652246)"
"Nikiski, AK","(60.721058, -151.2462077)"
Fish Egg Inlet,"(51.622264, -127.7778121)"
Pruth Bay,"(51.653341, -128.1086728)"
Tura,"(47.60935, 19.5949442)"
Bahia Negra,"(-20.2308712, -58.1690716)"
Chaibukha,
Provedenia,"(51.7821065, 107.4676567)"
Isfahan,"(32.6707877, 51.6650002)"
Terhan,"(40.2546873, 33.00326)"
Yushno,
Ust Ilimsk,"(57.959473, 102.734192)"
Nabire,"(-3.360285, 135.5023653)"
